Place,Gender,Time,Distance,Level,Year
1,2,984.28,5,4,2016
2,2,1028.73,5,4,2016
3,2,1033.54,5,4,2016
4,2,1041.26,5,4,2016
5,2,1043.15,5,4,2016
6,2,1043.75,5,4,2016
7,2,1048.63,5,4,2016
8,2,1050.1,5,4,2016
9,2,1051.64,5,4,2016
10,2,1052.32,5,4,2016
11,2,1053.42,5,4,2016
12,2,1054.43,5,4,2016
13,2,1055.35,5,4,2016
14,2,1055.73,5,4,2016
15,2,1059.63,5,4,2016
16,2,1060.06,5,4,2016
17,2,1060.39,5,4,2016
18,2,1060.52,5,4,2016
19,2,1061.01,5,4,2016
20,2,1062.95,5,4,2016
21,2,1063.38,5,4,2016
22,2,1063.42,5,4,2016
23,2,1064.27,5,4,2016
24,2,1066.41,5,4,2016
25,2,1066.53,5,4,2016
26,2,1067.17,5,4,2016
27,2,1067.87,5,4,2016
13,2,1069.63,5,4,2016
29,2,1070.54,5,4,2016
30,2,1071.67,5,4,2016
31,2,1073.72,5,4,2016
32,2,1075.74,5,4,2016
33,2,1076.71,5,4,2016
34,2,1079.27,5,4,2016
35,2,1080.11,5,4,2016
36,2,1081.82,5,4,2016
37,2,1083.39,5,4,2016
38,2,1084.12,5,4,2016
39,2,1085.12,5,4,2016
40,2,1086.23,5,4,2016
41,2,1086.48,5,4,2016
42,2,1087.15,5,4,2016
43,2,1087.86,5,4,2016
44,2,1090.36,5,4,2016
45,2,1090.37,5,4,2016
46,2,1091.25,5,4,2016
47,2,1092.74,5,4,2016
48,2,1093.14,5,4,2016
49,2,1094.0,5,4,2016
50,2,1094.2,5,4,2016
51,2,1094.4,5,4,2016
52,2,1095.17,5,4,2016
53,2,1096.49,5,4,2016
54,2,1097.35,5,4,2016
55,2,1097.49,5,4,2016
56,2,1098.9,5,4,2016
57,2,1099.45,5,4,2016
58,2,1099.97,5,4,2016
59,2,1100.55,5,4,2016
60,2,1100.61,5,4,2016
61,2,1101.89,5,4,2016
62,2,1103.01,5,4,2016
63,2,1103.55,5,4,2016
64,2,1103.82,5,4,2016
65,2,1104.2,5,4,2016
66,2,1105.72,5,4,2016
67,2,1107.87,5,4,2016
68,2,1109.39,5,4,2016
69,2,1111.05,5,4,2016
70,2,1111.5,5,4,2016
71,2,1111.98,5,4,2016
72,2,1112.43,5,4,2016
73,2,1112.44,5,4,2016
74,2,1113.55,5,4,2016
75,2,1113.64,5,4,2016
76,2,1114.67,5,4,2016
77,2,1114.73,5,4,2016
78,2,1115.17,5,4,2016
79,2,1115.55,5,4,2016
80,2,1115.89,5,4,2016
81,2,1115.89,5,4,2016
82,2,1116.94,5,4,2016
83,2,1117.78,5,4,2016
84,2,1118.2,5,4,2016
85,2,1118.24,5,4,2016
86,2,1119.62,5,4,2016
87,2,1120.72,5,4,2016
88,2,1122.07,5,4,2016
89,2,1122.81,5,4,2016
90,2,1123.41,5,4,2016
91,2,1123.6,5,4,2016
92,2,1125.22,5,4,2016
13,2,1125.69,5,4,2016
94,2,1126.1,5,4,2016
95,2,1126.49,5,4,2016
96,2,1127.1,5,4,2016
97,2,1127.48,5,4,2016
98,2,1127.69,5,4,2016
99,2,1127.7,5,4,2016
100,2,1127.96,5,4,2016
101,2,1128.09,5,4,2016
102,2,1128.46,5,4,2016
103,2,1128.49,5,4,2016
104,2,1128.83,5,4,2016
105,2,1130.35,5,4,2016
106,2,1130.88,5,4,2016
107,2,1131.72,5,4,2016
108,2,1132.19,5,4,2016
109,2,1132.36,5,4,2016
110,2,1132.78,5,4,2016
111,2,1133.39,5,4,2016
112,2,1133.58,5,4,2016
113,2,1133.68,5,4,2016
114,2,1134.21,5,4,2016
115,2,1134.67,5,4,2016
116,2,1134.89,5,4,2016
117,2,1135.55,5,4,2016
118,2,1135.8,5,4,2016
119,2,1137.83,5,4,2016
120,2,1138.47,5,4,2016
121,2,1139.71,5,4,2016
122,2,1140.65,5,4,2016
123,2,1141.11,5,4,2016
124,2,1141.42,5,4,2016
125,2,1141.65,5,4,2016
126,2,1142.2,5,4,2016
127,2,1142.4,5,4,2016
128,2,1142.85,5,4,2016
129,2,1143.37,5,4,2016
130,2,1144.04,5,4,2016
131,2,1144.78,5,4,2016
132,2,1144.9,5,4,2016
133,2,1145.6,5,4,2016
134,2,1146.21,5,4,2016
135,2,1146.25,5,4,2016
136,2,1146.34,5,4,2016
137,2,1146.41,5,4,2016
138,2,1146.43,5,4,2016
139,2,1147.07,5,4,2016
140,2,1147.93,5,4,2016
141,2,1148.88,5,4,2016
142,2,1149.52,5,4,2016
143,2,1150.0,5,4,2016
144,2,1150.04,5,4,2016
145,2,1150.32,5,4,2016
146,2,1150.58,5,4,2016
147,2,1150.68,5,4,2016
148,2,1150.84,5,4,2016
149,2,1151.02,5,4,2016
150,2,1151.76,5,4,2016
151,2,1151.88,5,4,2016
152,2,1152.23,5,4,2016
153,2,1152.45,5,4,2016
154,2,1152.83,5,4,2016
155,2,1152.97,5,4,2016
156,2,1153.48,5,4,2016
157,2,1153.62,5,4,2016
158,2,1154.05,5,4,2016
159,2,1154.59,5,4,2016
160,2,1154.77,5,4,2016
161,2,1154.82,5,4,2016
162,2,1155.16,5,4,2016
163,2,1155.17,5,4,2016
164,2,1155.3,5,4,2016
165,2,1155.7,5,4,2016
166,2,1156.46,5,4,2016
167,2,1156.77,5,4,2016
168,2,1156.99,5,4,2016
169,2,1157.06,5,4,2016
170,2,1157.22,5,4,2016
171,2,1157.53,5,4,2016
172,2,1158.14,5,4,2016
173,2,1159.23,5,4,2016
174,2,1159.38,5,4,2016
175,2,1159.53,5,4,2016
176,2,1159.62,5,4,2016
177,2,1159.82,5,4,2016
178,2,1160.47,5,4,2016
179,2,1162.16,5,4,2016
180,2,1162.77,5,4,2016
181,2,1163.02,5,4,2016
182,2,1163.28,5,4,2016
183,2,1164.17,5,4,2016
184,2,1164.21,5,4,2016
185,2,1164.5,5,4,2016
186,2,1165.04,5,4,2016
187,2,1165.22,5,4,2016
188,2,1165.29,5,4,2016
189,2,1166.17,5,4,2016
190,2,1166.86,5,4,2016
191,2,1167.0,5,4,2016
192,2,1167.31,5,4,2016
193,2,1168.02,5,4,2016
194,2,1168.74,5,4,2016
195,2,1168.88,5,4,2016
196,2,1169.71,5,4,2016
197,2,1170.29,5,4,2016
198,2,1172.3,5,4,2016
199,2,1172.69,5,4,2016
200,2,1172.91,5,4,2016
201,2,1173.67,5,4,2016
202,2,1174.68,5,4,2016
203,2,1174.98,5,4,2016
204,2,1175.25,5,4,2016
205,2,1175.39,5,4,2016
206,2,1175.4,5,4,2016
207,2,1175.64,5,4,2016
208,2,1176.07,5,4,2016
209,2,1177.11,5,4,2016
210,2,1177.17,5,4,2016
211,2,1178.16,5,4,2016
212,2,1179.19,5,4,2016
213,2,1180.04,5,4,2016
214,2,1180.09,5,4,2016
215,2,1180.55,5,4,2016
216,2,1181.09,5,4,2016
217,2,1181.27,5,4,2016
218,2,1181.38,5,4,2016
219,2,1181.79,5,4,2016
220,2,1181.97,5,4,2016
221,2,1182.95,5,4,2016
222,2,1183.41,5,4,2016
223,2,1183.7,5,4,2016
224,2,1183.83,5,4,2016
225,2,1184.08,5,4,2016
226,2,1184.16,5,4,2016
227,2,1184.52,5,4,2016
228,2,1184.54,5,4,2016
229,2,1185.05,5,4,2016
230,2,1185.63,5,4,2016
231,2,1185.72,5,4,2016
232,2,1185.81,5,4,2016
233,2,1186.13,5,4,2016
234,2,1187.31,5,4,2016
235,2,1187.58,5,4,2016
236,2,1188.77,5,4,2016
237,2,1188.81,5,4,2016
238,2,1188.93,5,4,2016
239,2,1189.95,5,4,2016
240,2,1190.27,5,4,2016
241,2,1190.88,5,4,2016
242,2,1191.33,5,4,2016
243,2,1191.87,5,4,2016
244,2,1192.14,5,4,2016
245,2,1192.4,5,4,2016
246,2,1192.46,5,4,2016
247,2,1193.07,5,4,2016
248,2,1193.32,5,4,2016
249,2,1193.69,5,4,2016
250,2,1194.09,5,4,2016
251,2,1194.6,5,4,2016
252,2,1194.96,5,4,2016
253,2,1195.01,5,4,2016
254,2,1197.79,5,4,2016
255,2,1198.17,5,4,2016
256,2,1199.05,5,4,2016
257,2,1199.2,5,4,2016
258,2,1199.6,5,4,2016
259,2,1200.58,5,4,2016
260,2,1201.15,5,4,2016
261,2,1202.03,5,4,2016
262,2,1202.04,5,4,2016
263,2,1202.08,5,4,2016
264,2,1203.96,5,4,2016
265,2,1204.72,5,4,2016
266,2,1205.32,5,4,2016
267,2,1206.05,5,4,2016
268,2,1206.05,5,4,2016
269,2,1206.79,5,4,2016
270,2,1206.9,5,4,2016
271,2,1207.03,5,4,2016
272,2,1213.3,5,4,2016
273,2,1214.31,5,4,2016
274,2,1215.64,5,4,2016
275,2,1216.39,5,4,2016
276,2,1216.69,5,4,2016
277,2,1219.29,5,4,2016
278,2,1219.73,5,4,2016
279,2,1220.48,5,4,2016
280,2,1221.27,5,4,2016
281,2,1222.75,5,4,2016
282,2,1222.99,5,4,2016
283,2,1223.64,5,4,2016
284,2,1228.24,5,4,2016
285,2,1229.6,5,4,2016
286,2,1231.21,5,4,2016
287,2,1232.93,5,4,2016
288,2,1236.13,5,4,2016
289,2,1237.84,5,4,2016
290,2,1238.22,5,4,2016
291,2,1242.74,5,4,2016
292,2,1243.28,5,4,2016
293,2,1243.3,5,4,2016
294,2,1243.33,5,4,2016
295,2,1244.72,5,4,2016
296,2,1244.76,5,4,2016
297,2,1250.83,5,4,2016
298,2,1253.25,5,4,2016
299,2,1258.96,5,4,2016
300,2,1260.97,5,4,2016
301,2,1261.53,5,4,2016
302,2,1261.99,5,4,2016
303,2,1266.95,5,4,2016
304,2,1272.64,5,4,2016
305,2,1273.29,5,4,2016
306,2,1277.91,5,4,2016
307,2,1278.93,5,4,2016
308,2,1282.97,5,4,2016
309,2,1285.92,5,4,2016
310,2,1287.27,5,4,2016
311,2,1288.49,5,4,2016
312,2,1291.22,5,4,2016
313,2,1294.87,5,4,2016
314,2,1297.35,5,4,2016
315,2,1301.64,5,4,2016
316,2,1305.1,5,4,2016
317,2,1305.99,5,4,2016
318,2,1313.18,5,4,2016
319,2,1322.64,5,4,2016
320,2,1324.37,5,4,2016
321,2,1335.41,5,4,2016
322,2,1338.6,5,4,2016
323,2,1348.54,5,4,2016
324,2,1356.1,5,4,2016
325,2,1363.13,5,4,2016
326,2,1364.84,5,4,2016
327,2,1369.84,5,4,2016
328,2,1379.61,5,4,2016
329,2,1391.44,5,4,2016
330,2,1423.53,5,4,2016
331,2,1443.91,5,4,2016
332,2,1480.19,5,4,2016
333,2,1544.54,5,4,2016
334,2,1712.04,5,4,2016
