Place,Gender,Time,Distance,Level,Year
1,2,1023.8,5,4,2014
2,2,1054.4,5,4,2014
3,2,1059.2,5,4,2014
4,2,1065.4,5,4,2014
5,2,1068.0,5,4,2014
6,2,1079.2,5,4,2014
7,2,1083.3,5,4,2014
8,2,1086.8,5,4,2014
9,2,1087.7,5,4,2014
10,2,1091.1,5,4,2014
11,2,1094.0,5,4,2014
12,2,1099.6,5,4,2014
13,2,1099.8,5,4,2014
14,2,1100.9,5,4,2014
15,2,1102.3,5,4,2014
16,2,1103.4,5,4,2014
17,2,1105.1,5,4,2014
18,2,1105.4,5,4,2014
19,2,1106.2,5,4,2014
20,2,1106.9,5,4,2014
21,2,1107.6,5,4,2014
22,2,1107.8,5,4,2014
23,2,1108.3,5,4,2014
24,2,1108.5,5,4,2014
25,2,1108.8,5,4,2014
26,2,1110.0,5,4,2014
27,2,1110.4,5,4,2014
28,2,1111.6,5,4,2014
29,2,1115.9,5,4,2014
30,2,1116.2,5,4,2014
31,2,1117.1,5,4,2014
32,2,1117.7,5,4,2014
33,2,1118.6,5,4,2014
34,2,1120.7,5,4,2014
35,2,1121.3,5,4,2014
36,2,1123.2,5,4,2014
37,2,1123.4,5,4,2014
38,2,1124.2,5,4,2014
39,2,1124.5,5,4,2014
40,2,1124.6,5,4,2014
41,2,1125.3,5,4,2014
42,2,1127.6,5,4,2014
43,2,1128.2,5,4,2014
44,2,1129.8,5,4,2014
45,2,1131.4,5,4,2014
46,2,1132.3,5,4,2014
47,2,1133.7,5,4,2014
48,2,1133.8,5,4,2014
49,2,1136.0,5,4,2014
50,2,1137.9,5,4,2014
51,2,1138.7,5,4,2014
52,2,1138.9,5,4,2014
53,2,1140.7,5,4,2014
54,2,1140.9,5,4,2014
55,2,1141.3,5,4,2014
56,2,1142.7,5,4,2014
57,2,1142.8,5,4,2014
58,2,1143.4,5,4,2014
59,2,1143.7,5,4,2014
60,2,1144.6,5,4,2014
61,2,1145.0,5,4,2014
62,2,1145.3,5,4,2014
63,2,1146.3,5,4,2014
64,2,1146.5,5,4,2014
65,2,1146.6,5,4,2014
66,2,1146.7,5,4,2014
67,2,1148.6,5,4,2014
68,2,1149.3,5,4,2014
69,2,1149.4,5,4,2014
70,2,1149.8,5,4,2014
71,2,1149.9,5,4,2014
72,2,1150.4,5,4,2014
73,2,1150.8,5,4,2014
74,2,1151.4,5,4,2014
75,2,1153.0,5,4,2014
76,2,1153.4,5,4,2014
77,2,1153.9,5,4,2014
78,2,1154.0,5,4,2014
79,2,1154.4,5,4,2014
80,2,1154.9,5,4,2014
81,2,1155.3,5,4,2014
82,2,1155.6,5,4,2014
83,2,1155.7,5,4,2014
84,2,1156.0,5,4,2014
85,2,1157.9,5,4,2014
86,2,1158.1,5,4,2014
87,2,1158.2,5,4,2014
88,2,1158.3,5,4,2014
89,2,1158.7,5,4,2014
90,2,1158.8,5,4,2014
91,2,1159.6,5,4,2014
92,2,1159.9,5,4,2014
93,2,1160.2,5,4,2014
94,2,1161.0,5,4,2014
94,2,1161.0,5,4,2014
96,2,1161.9,5,4,2014
97,2,1162.0,5,4,2014
98,2,1162.3,5,4,2014
99,2,1162.4,5,4,2014
100,2,1163.0,5,4,2014
100,2,1163.0,5,4,2014
102,2,1163.9,5,4,2014
103,2,1165.1,5,4,2014
104,2,1165.4,5,4,2014
105,2,1165.8,5,4,2014
106,2,1166.4,5,4,2014
107,2,1166.9,5,4,2014
108,2,1167.7,5,4,2014
109,2,1167.9,5,4,2014
110,2,1169.0,5,4,2014
111,2,1169.2,5,4,2014
112,2,1169.3,5,4,2014
113,2,1169.4,5,4,2014
114,2,1169.7,5,4,2014
115,2,1170.1,5,4,2014
116,2,1170.7,5,4,2014
117,2,1170.9,5,4,2014
118,2,1171.9,5,4,2014
119,2,1172.4,5,4,2014
120,2,1173.0,5,4,2014
121,2,1174.2,5,4,2014
122,2,1174.7,5,4,2014
123,2,1175.0,5,4,2014
124,2,1175.1,5,4,2014
125,2,1175.5,5,4,2014
126,2,1175.6,5,4,2014
127,2,1177.9,5,4,2014
128,2,1178.7,5,4,2014
129,2,1179.2,5,4,2014
130,2,1179.3,5,4,2014
131,2,1179.4,5,4,2014
132,2,1179.5,5,4,2014
133,2,1180.2,5,4,2014
134,2,1180.3,5,4,2014
135,2,1180.5,5,4,2014
136,2,1180.6,5,4,2014
137,2,1181.2,5,4,2014
138,2,1181.4,5,4,2014
139,2,1181.8,5,4,2014
140,2,1181.9,5,4,2014
141,2,1182.1,5,4,2014
142,2,1182.5,5,4,2014
143,2,1182.7,5,4,2014
144,2,1182.9,5,4,2014
145,2,1183.3,5,4,2014
146,2,1183.5,5,4,2014
147,2,1183.7,5,4,2014
148,2,1183.8,5,4,2014
149,2,1184.1,5,4,2014
150,2,1184.2,5,4,2014
151,2,1185.2,5,4,2014
152,2,1185.3,5,4,2014
153,2,1185.6,5,4,2014
154,2,1186.0,5,4,2014
155,2,1186.1,5,4,2014
156,2,1186.3,5,4,2014
157,2,1186.8,5,4,2014
158,2,1186.9,5,4,2014
159,2,1187.9,5,4,2014
160,2,1188.3,5,4,2014
161,2,1189.0,5,4,2014
162,2,1189.1,5,4,2014
163,2,1189.3,5,4,2014
164,2,1189.4,5,4,2014
165,2,1189.9,5,4,2014
166,2,1190.1,5,4,2014
167,2,1190.2,5,4,2014
168,2,1191.1,5,4,2014
169,2,1191.6,5,4,2014
170,2,1192.7,5,4,2014
171,2,1193.0,5,4,2014
172,2,1193.8,5,4,2014
173,2,1193.9,5,4,2014
174,2,1194.2,5,4,2014
175,2,1194.4,5,4,2014
176,2,1195.1,5,4,2014
177,2,1195.9,5,4,2014
178,2,1196.0,5,4,2014
179,2,1196.1,5,4,2014
180,2,1197.0,5,4,2014
181,2,1197.5,5,4,2014
182,2,1197.6,5,4,2014
183,2,1198.0,5,4,2014
184,2,1198.3,5,4,2014
184,2,1198.3,5,4,2014
186,2,1198.8,5,4,2014
187,2,1199.3,5,4,2014
188,2,1199.4,5,4,2014
189,2,1200.0,5,4,2014
190,2,1200.2,5,4,2014
191,2,1200.8,5,4,2014
192,2,1203.4,5,4,2014
193,2,1204.2,5,4,2014
194,2,1204.7,5,4,2014
195,2,1204.9,5,4,2014
196,2,1205.2,5,4,2014
197,2,1205.3,5,4,2014
198,2,1206.4,5,4,2014
199,2,1207.5,5,4,2014
200,2,1207.8,5,4,2014
201,2,1208.5,5,4,2014
202,2,1208.9,5,4,2014
203,2,1209.4,5,4,2014
204,2,1210.0,5,4,2014
205,2,1210.7,5,4,2014
206,2,1210.8,5,4,2014
207,2,1210.9,5,4,2014
208,2,1211.0,5,4,2014
209,2,1211.3,5,4,2014
210,2,1211.5,5,4,2014
211,2,1212.9,5,4,2014
212,2,1213.4,5,4,2014
213,2,1213.8,5,4,2014
214,2,1214.8,5,4,2014
215,2,1215.3,5,4,2014
216,2,1215.9,5,4,2014
217,2,1216.7,5,4,2014
218,2,1217.6,5,4,2014
219,2,1218.0,5,4,2014
220,2,1218.3,5,4,2014
221,2,1218.7,5,4,2014
222,2,1219.0,5,4,2014
