Place,Gender,Time,Distance,Level,Year
1,1,1442.45,8,4,2013
2,1,1461.49,8,4,2013
3,1,1465.03,8,4,2013
4,1,1475.69,8,4,2013
5,1,1477.61,8,4,2013
6,1,1482.92,8,4,2013
7,1,1486.81,8,4,2013
8,1,1487.12,8,4,2013
9,1,1487.18,8,4,2013
10,1,1488.29,8,4,2013
11,1,1490.94,8,4,2013
12,1,1492.61,8,4,2013
13,1,1494.18,8,4,2013
14,1,1494.25,8,4,2013
15,1,1495.69,8,4,2013
16,1,1497.33,8,4,2013
17,1,1497.75,8,4,2013
18,1,1500.11,8,4,2013
19,1,1502.13,8,4,2013
20,1,1502.53,8,4,2013
21,1,1503.43,8,4,2013
22,1,1504.06,8,4,2013
23,1,1504.55,8,4,2013
24,1,1504.91,8,4,2013
25,1,1506.81,8,4,2013
26,1,1507.04,8,4,2013
27,1,1508.17,8,4,2013
28,1,1509.39,8,4,2013
29,1,1509.43,8,4,2013
30,1,1510.49,8,4,2013
31,1,1512.67,8,4,2013
32,1,1512.97,8,4,2013
33,1,1513.53,8,4,2013
34,1,1517.68,8,4,2013
35,1,1519.05,8,4,2013
36,1,1519.73,8,4,2013
37,1,1521.57,8,4,2013
38,1,1521.91,8,4,2013
39,1,1522.24,8,4,2013
40,1,1522.67,8,4,2013
41,1,1522.93,8,4,2013
42,1,1523.22,8,4,2013
43,1,1523.52,8,4,2013
44,1,1523.56,8,4,2013
45,1,1523.77,8,4,2013
46,1,1524.97,8,4,2013
47,1,1525.77,8,4,2013
48,1,1525.84,8,4,2013
49,1,1526.99,8,4,2013
50,1,1527.31,8,4,2013
51,1,1528.07,8,4,2013
52,1,1529.21,8,4,2013
53,1,1530.75,8,4,2013
54,1,1531.2,8,4,2013
55,1,1531.33,8,4,2013
56,1,1531.91,8,4,2013
57,1,1532.34,8,4,2013
58,1,1532.43,8,4,2013
59,1,1532.57,8,4,2013
60,1,1532.64,8,4,2013
61,1,1532.93,8,4,2013
62,1,1534.19,8,4,2013
63,1,1534.27,8,4,2013
64,1,1534.65,8,4,2013
65,1,1536.44,8,4,2013
66,1,1537.25,8,4,2013
67,1,1537.74,8,4,2013
68,1,1538.42,8,4,2013
69,1,1538.44,8,4,2013
70,1,1538.45,8,4,2013
71,1,1538.67,8,4,2013
72,1,1538.83,8,4,2013
73,1,1539.0,8,4,2013
74,1,1539.54,8,4,2013
75,1,1540.25,8,4,2013
76,1,1540.26,8,4,2013
77,1,1540.27,8,4,2013
78,1,1540.37,8,4,2013
79,1,1541.09,8,4,2013
80,1,1542.3,8,4,2013
81,1,1543.27,8,4,2013
82,1,1543.69,8,4,2013
83,1,1544.82,8,4,2013
84,1,1545.82,8,4,2013
85,1,1545.94,8,4,2013
86,1,1546.38,8,4,2013
87,1,1547.27,8,4,2013
88,1,1547.4,8,4,2013
89,1,1548.09,8,4,2013
90,1,1548.1,8,4,2013
91,1,1548.38,8,4,2013
92,1,1548.96,8,4,2013
93,1,1549.09,8,4,2013
94,1,1549.57,8,4,2013
95,1,1549.85,8,4,2013
96,1,1551.51,8,4,2013
97,1,1551.73,8,4,2013
98,1,1552.14,8,4,2013
99,1,1553.48,8,4,2013
100,1,1554.12,8,4,2013
101,1,1555.08,8,4,2013
102,1,1555.09,8,4,2013
103,1,1555.66,8,4,2013
104,1,1555.88,8,4,2013
105,1,1556.42,8,4,2013
106,1,1556.98,8,4,2013
107,1,1557.28,8,4,2013
108,1,1560.4,8,4,2013
109,1,1560.69,8,4,2013
110,1,1560.94,8,4,2013
111,1,1561.2,8,4,2013
112,1,1561.21,8,4,2013
113,1,1561.78,8,4,2013
114,1,1562.79,8,4,2013
115,1,1563.52,8,4,2013
116,1,1565.41,8,4,2013
117,1,1565.68,8,4,2013
118,1,1565.99,8,4,2013
119,1,1566.65,8,4,2013
120,1,1566.73,8,4,2013
121,1,1567.11,8,4,2013
122,1,1568.53,8,4,2013
123,1,1569.35,8,4,2013
124,1,1569.37,8,4,2013
125,1,1569.76,8,4,2013
126,1,1569.83,8,4,2013
127,1,1570.27,8,4,2013
128,1,1570.69,8,4,2013
129,1,1571.22,8,4,2013
130,1,1571.27,8,4,2013
131,1,1571.28,8,4,2013
132,1,1571.36,8,4,2013
133,1,1572.32,8,4,2013
134,1,1572.83,8,4,2013
135,1,1574.09,8,4,2013
136,1,1574.63,8,4,2013
137,1,1574.81,8,4,2013
138,1,1575.22,8,4,2013
139,1,1575.48,8,4,2013
140,1,1575.49,8,4,2013
141,1,1576.05,8,4,2013
142,1,1576.28,8,4,2013
143,1,1576.79,8,4,2013
144,1,1576.88,8,4,2013
145,1,1577.65,8,4,2013
146,1,1578.62,8,4,2013
147,1,1579.27,8,4,2013
148,1,1579.46,8,4,2013
149,1,1579.57,8,4,2013
150,1,1579.75,8,4,2013
151,1,1580.09,8,4,2013
152,1,1580.51,8,4,2013
153,1,1580.56,8,4,2013
154,1,1580.77,8,4,2013
155,1,1581.11,8,4,2013
156,1,1581.52,8,4,2013
157,1,1582.67,8,4,2013
158,1,1583.17,8,4,2013
159,1,1583.22,8,4,2013
160,1,1583.59,8,4,2013
161,1,1583.93,8,4,2013
162,1,1584.24,8,4,2013
163,1,1584.26,8,4,2013
164,1,1584.77,8,4,2013
165,1,1585.51,8,4,2013
166,1,1585.54,8,4,2013
167,1,1585.94,8,4,2013
168,1,1586.36,8,4,2013
169,1,1586.78,8,4,2013
170,1,1586.87,8,4,2013
171,1,1587.8,8,4,2013
172,1,1587.97,8,4,2013
173,1,1589.32,8,4,2013
174,1,1589.91,8,4,2013
175,1,1590.5,8,4,2013
176,1,1590.63,8,4,2013
177,1,1590.78,8,4,2013
178,1,1591.13,8,4,2013
179,1,1591.47,8,4,2013
180,1,1592.35,8,4,2013
181,1,1592.77,8,4,2013
182,1,1594.45,8,4,2013
183,1,1594.93,8,4,2013
184,1,1595.08,8,4,2013
185,1,1595.77,8,4,2013
186,1,1596.48,8,4,2013
187,1,1596.67,8,4,2013
188,1,1597.25,8,4,2013
189,1,1597.3,8,4,2013
190,1,1597.39,8,4,2013
191,1,1597.53,8,4,2013
192,1,1598.06,8,4,2013
193,1,1598.28,8,4,2013
194,1,1598.46,8,4,2013
195,1,1598.72,8,4,2013
196,1,1598.89,8,4,2013
197,1,1599.34,8,4,2013
198,1,1600.11,8,4,2013
199,1,1602.64,8,4,2013
200,1,1602.85,8,4,2013
201,1,1603.05,8,4,2013
202,1,1603.15,8,4,2013
203,1,1603.36,8,4,2013
204,1,1603.8,8,4,2013
205,1,1604.28,8,4,2013
206,1,1604.53,8,4,2013
207,1,1604.64,8,4,2013
208,1,1605.13,8,4,2013
209,1,1605.39,8,4,2013
210,1,1606.46,8,4,2013
211,1,1607.08,8,4,2013
212,1,1607.75,8,4,2013
213,1,1608.5,8,4,2013
214,1,1609.21,8,4,2013
215,1,1611.11,8,4,2013
216,1,1611.97,8,4,2013
217,1,1612.88,8,4,2013
218,1,1614.6,8,4,2013
219,1,1614.95,8,4,2013
220,1,1615.31,8,4,2013
221,1,1616.58,8,4,2013
222,1,1617.33,8,4,2013
223,1,1617.85,8,4,2013
224,1,1617.88,8,4,2013
225,1,1618.52,8,4,2013
226,1,1620.93,8,4,2013
227,1,1623.27,8,4,2013
228,1,1624.12,8,4,2013
229,1,1625.23,8,4,2013
230,1,1625.74,8,4,2013
231,1,1626.44,8,4,2013
232,1,1627.76,8,4,2013
233,1,1628.51,8,4,2013
234,1,1629.54,8,4,2013
235,1,1630.5,8,4,2013
236,1,1632.47,8,4,2013
237,1,1632.5,8,4,2013
238,1,1632.8,8,4,2013
239,1,1632.85,8,4,2013
240,1,1634.81,8,4,2013
241,1,1636.23,8,4,2013
242,1,1636.86,8,4,2013
243,1,1637.09,8,4,2013
244,1,1637.53,8,4,2013
245,1,1639.07,8,4,2013
246,1,1640.18,8,4,2013
247,1,1640.48,8,4,2013
248,1,1640.98,8,4,2013
249,1,1641.1,8,4,2013
250,1,1642.65,8,4,2013
251,1,1643.68,8,4,2013
252,1,1643.85,8,4,2013
253,1,1643.86,8,4,2013
254,1,1644.97,8,4,2013
255,1,1645.79,8,4,2013
256,1,1647.46,8,4,2013
257,1,1648.24,8,4,2013
258,1,1648.99,8,4,2013
259,1,1650.63,8,4,2013
260,1,1650.86,8,4,2013
261,1,1653.49,8,4,2013
262,1,1653.89,8,4,2013
263,1,1653.9,8,4,2013
264,1,1658.15,8,4,2013
265,1,1658.16,8,4,2013
266,1,1658.62,8,4,2013
267,1,1660.77,8,4,2013
268,1,1661.13,8,4,2013
269,1,1661.53,8,4,2013
270,1,1664.55,8,4,2013
271,1,1666.46,8,4,2013
272,1,1668.51,8,4,2013
273,1,1670.03,8,4,2013
274,1,1670.16,8,4,2013
275,1,1673.43,8,4,2013
276,1,1674.35,8,4,2013
277,1,1675.27,8,4,2013
278,1,1675.37,8,4,2013
279,1,1678.02,8,4,2013
280,1,1678.9,8,4,2013
281,1,1679.16,8,4,2013
282,1,1680.77,8,4,2013
283,1,1682.61,8,4,2013
284,1,1685.87,8,4,2013
285,1,1686.43,8,4,2013
286,1,1690.03,8,4,2013
287,1,1691.69,8,4,2013
288,1,1691.87,8,4,2013
289,1,1694.22,8,4,2013
290,1,1696.72,8,4,2013
291,1,1697.74,8,4,2013
292,1,1706.11,8,4,2013
293,1,1706.48,8,4,2013
294,1,1711.08,8,4,2013
295,1,1712.92,8,4,2013
296,1,1716.13,8,4,2013
297,1,1718.57,8,4,2013
298,1,1720.02,8,4,2013
299,1,1720.26,8,4,2013
300,1,1724.16,8,4,2013
301,1,1724.86,8,4,2013
302,1,1730.62,8,4,2013
303,1,1737.33,8,4,2013
304,1,1740.88,8,4,2013
305,1,1742.48,8,4,2013
306,1,1743.17,8,4,2013
307,1,1744.52,8,4,2013
308,1,1751.44,8,4,2013
309,1,1758.06,8,4,2013
310,1,1758.62,8,4,2013
311,1,1782.22,8,4,2013
312,1,1782.91,8,4,2013
313,1,1809.75,8,4,2013
