2016 Championships  2
History  5
All-Time Team Results  8
DIVISION I WOMEN’S 
CROSS COUNTRY 
CHAMPIONSHIPS 
RECORDS BOOK2016 Championships  3 
 2016 INDIVIDUAL 
RESULTS
126 Dybedokken, Aurora, Oklahoma State,  20:56.6
127 Lee, Michelle, Wisconsin,  20:57.1
128 Brown, Bethanie, Iowa State,  20:57.5
129 Gallein, Sofie, Eastern Michigan,  20:57.6
130 Jackson, Shelby, Michigan State,  20:58.0
131 Sorensen, Shaelyn, Wisconsin,  20:58.0
132 Meydrich, Mia, Miss State,  20:58.2
133 Clark, Erin, Colorado,                 20:58.4
134 Rogers, Jenny, Michigan State,  20:58.5
135 Bouchard, Marie, San Francisco,  20:58.6
136 Burda, Bella, Villanova,                 20:58.6
137 Dietz, Erin, Harvard,                 20:59.0
138 Lembo, Katie, Providence,  20:59.5
139 Mello, Nicole, Missouri,                 20:59.6
140 Lindsley, Greta, Penn State,  21:00.8
141 Tertsch, Lisa, Harvard,                 21:00.9
142 Lincks, Janelle, Colorado St.,  21:01.1
143 Ward, Regan, Arkansas,  21:01.1
144 Miller, Hannah, SMU,                 21:01.9
145 Wasike, Dorcas, Louisville,  21:01.9
146 Thomas, Peyton, Baylor,  21:02.7
147 Rawlings, Taryn, Portland,  21:02.9
148 Wheeler, Abbey, Providence,  21:03.8
149 DaDamio, Rachel, Notre Dame,  21:04.1
150 Flanagan, Kaylee, Washington,  21:04.1
151 Gehrich, Amanda, Utah,  21:04.3
152 MacDougall, Branna, Iowa State,  21:04.4
153 Wayment, Courtney, BYU,  21:04.6
154 Hiltz, Nikki, Arkansas,                 21:04.8
155 Hehr, Antonia, Miss State,  21:05.0
156 Davis, Bailey, Louisville,                 21:05.6
157 Waligurski, Emily, Yale,                 21:06.1
158 Cranny, Elise, Stanford,                 21:06.1
159 Henes, Elly, North Carolina St.,  21:06.4
160 Davis, Amy, Wisconsin,                 21:06.9
161 Jensen, Katie, Rice,                 21:08.0
162 Zielinski, Nicole, Washington,  21:08.4
163 Smith, Karrigan, Michigan State,  21:08.6
164 Durgy, Cassandra, UCLA,  21:09.4
165 Rizzo, Meredith, Yale,                 21:09.7
166 Borchers, Claire, Michigan,  21:10.2
167 Bernal, Natasha, New Mexico,  21:10.3
168 Gray, Abby, Arkansas,                 21:10.5
169 Bean, Emily, Mississippi,  21:10.6
170 Jensen, Alice, BYU,                 21:10.6
