2019 Championships  2
History  5
All-Time Team Results  9
DIVISION I WOMEN’S 
CROSS COUNTRY 
CHAMPIONSHIPS 
RECORDS BOOK2019 Championships  3 
 2019 INDIVIDUAL 
RESULTS
Pos. Name, School Time
131 Mareno, Nevada, NC State 21:28.3
132 Eitel, Pipi, Northern Ariz. 21:28.5
133 Morley, Bryn, Northern Ariz. 21:28.7
134 Royston, Emily, Butler 21:29.1
135 Gehrich, Amanda, Oregon 21:29.4
136 Brauer, Isabelle, Oregon 21:29.6
137 Farrell, Maggie, Michigan St. 21:29.7
138 Brady, Teri, Air Force 21:31.4
139 Westley, Alexa, Wisconsin 21:32.5
140 Boogerd, Skylar, Ole Miss 21:33.0
141 Smith, Maggie, Villanova 21:33.2
142 Corman, Sami, Georgetown 21:34.1
143 Markezich, Olivia, Notre Dame 21:35.2
144 Rivers, Danae, Penn St. 21:35.6
145 Trevisan, Maddy, Michigan 21:35.9
146 Kill, Jenna, Air Force 21:36.3
147 Traxler, Ylva, Ole Miss 21:36.4
148 Miller, Caroline, Tulsa 21:36.6
149 Gillespie, Kathryn, Texas 21:36.9
150 Sloan, Emma, Michigan 21:38.0
151 Paternain, Julia, Penn St. 21:38.5
152 Barnes, Ashley, Tulsa 21:38.5
153 King, Madeleine, Ole Miss 21:38.7
154 Mooney, Megan, Florida St. 21:38.8
155 Kleshchukova, Arina, New 
Orleans21:42.0
156 Sippy, Peyton, Wisconsin 21:42.1
157 Cheruiyot, Linda, UTEP 21:42.2
158 Studebaker, Lainey, Ohio St. 21:42.7
159 Craddock, Rebecca, Illinois 21:43.1
160 Musselman, Sara, BYU 21:43.1
161 Nahom, Mia, UConn 21:43.1
162 Hamilton, Lara, Boise St. 21:43.2
163 Oeser, Anna, Boston College 21:44.9
164 David-Smith, Camila, Washington 21:45.0
165 Sweeney, Fian Sullivan, Boston 
College21:45.1
166 Milburn, Emma, Illinois 21:45.2
167 Driscoll, Ashley, Texas A&M 21:45.4
168 Guagenti, Allie, Ohio St. 21:45.6
169 McHugh, Maddie, Ole Miss 21:45.7
170 Vogelgesang, Lisa, Ole Miss 21:46.4
171 McClellan, Emma, Ole Miss 21:47.6
172 Korzenowski, Anastasia, 
Minnesota21:47.8
173 House, Kathryn, Michigan 21:47.9
174 Rizk, Julia, Ohio St. 21:49.9
175 Werking, Sarah, Minnesota 21:50.8
176 Dwyer, Grace, Furman 21:51.5
177 Ciasullo, Megan, Penn St. 21:52.1
178 Long, Jocelyn, Notre Dame 21:52.1
179 Gray, Abby, Arkansas 21:52.9
180 Barker, Jenna, Indiana 21:53.0
