Place,Gender,Time,Distance,Level,Year
1,1,1435.0,8,4,2015
2,1,1454.2,8,4,2015
3,1,1455.1,8,4,2015
4,1,1458.0,8,4,2015
5,1,1476.0,8,4,2015
6,1,1478.8,8,4,2015
7,1,1484.5,8,4,2015
8,1,1487.9,8,4,2015
9,1,1489.2,8,4,2015
10,1,1490.5,8,4,2015
11,1,1491.4,8,4,2015
12,1,1495.3,8,4,2015
13,1,1499.8,8,4,2015
14,1,1501.3,8,4,2015
15,1,1502.7,8,4,2015
16,1,1506.0,8,4,2015
17,1,1506.4,8,4,2015
18,1,1507.0,8,4,2015
19,1,1507.3,8,4,2015
20,1,1508.5,8,4,2015
21,1,1509.2,8,4,2015
22,1,1509.6,8,4,2015
23,1,1510.1,8,4,2015
24,1,1510.6,8,4,2015
25,1,1511.0,8,4,2015
26,1,1511.2,8,4,2015
27,1,1511.6,8,4,2015
28,1,1512.2,8,4,2015
29,1,1517.1,8,4,2015
30,1,1519.0,8,4,2015
31,1,1520.8,8,4,2015
32,1,1521.8,8,4,2015
33,1,1527.0,8,4,2015
34,1,1531.5,8,4,2015
35,1,1531.8,8,4,2015
36,1,1533.1,8,4,2015
37,1,1533.5,8,4,2015
38,1,1534.0,8,4,2015
39,1,1535.9,8,4,2015
40,1,1536.4,8,4,2015
41,1,1537.5,8,4,2015
42,1,1539.3,8,4,2015
43,1,1540.0,8,4,2015
44,1,1540.4,8,4,2015
45,1,1540.4,8,4,2015
46,1,1542.0,8,4,2015
47,1,1542.6,8,4,2015
48,1,1544.0,8,4,2015
49,1,1545.1,8,4,2015
50,1,1545.6,8,4,2015
51,1,1545.8,8,4,2015
52,1,1545.9,8,4,2015
53,1,1546.5,8,4,2015
54,1,1547.0,8,4,2015
55,1,1547.3,8,4,2015
56,1,1547.8,8,4,2015
57,1,1549.2,8,4,2015
58,1,1550.6,8,4,2015
59,1,1550.9,8,4,2015
60,1,1551.1,8,4,2015
61,1,1551.5,8,4,2015
62,1,1552.2,8,4,2015
63,1,1552.5,8,4,2015
64,1,1552.5,8,4,2015
65,1,1553.0,8,4,2015
66,1,1553.1,8,4,2015
67,1,1554.6,8,4,2015
68,1,1555.1,8,4,2015
69,1,1555.9,8,4,2015
70,1,1556.1,8,4,2015
71,1,1556.5,8,4,2015
72,1,1556.9,8,4,2015
73,1,1558.8,8,4,2015
74,1,1560.5,8,4,2015
75,1,1561.7,8,4,2015
76,1,1561.7,8,4,2015
77,1,1562.2,8,4,2015
78,1,1562.6,8,4,2015
79,1,1562.7,8,4,2015
80,1,1563.0,8,4,2015
81,1,1566.1,8,4,2015
82,1,1567.5,8,4,2015
83,1,1568.1,8,4,2015
84,1,1568.6,8,4,2015
85,1,1568.6,8,4,2015
86,1,1569.0,8,4,2015
87,1,1570.3,8,4,2015
88,1,1570.7,8,4,2015
89,1,1570.8,8,4,2015
90,1,1571.3,8,4,2015
91,1,1571.6,8,4,2015
92,1,1572.5,8,4,2015
93,1,1573.1,8,4,2015
94,1,1574.7,8,4,2015
95,1,1574.9,8,4,2015
96,1,1575.1,8,4,2015
97,1,1575.4,8,4,2015
98,1,1576.6,8,4,2015
99,1,1577.1,8,4,2015
100,1,1577.1,8,4,2015
101,1,1577.6,8,4,2015
102,1,1577.6,8,4,2015
103,1,1577.7,8,4,2015
104,1,1578.0,8,4,2015
105,1,1578.4,8,4,2015
106,1,1578.5,8,4,2015
107,1,1579.1,8,4,2015
108,1,1579.6,8,4,2015
109,1,1579.6,8,4,2015
110,1,1580.4,8,4,2015
111,1,1580.7,8,4,2015
112,1,1580.9,8,4,2015
113,1,1581.1,8,4,2015
114,1,1582.1,8,4,2015
115,1,1583.2,8,4,2015
116,1,1584.6,8,4,2015
117,1,1584.8,8,4,2015
118,1,1585.3,8,4,2015
119,1,1585.5,8,4,2015
120,1,1585.7,8,4,2015
121,1,1585.9,8,4,2015
122,1,1586.2,8,4,2015
123,1,1586.5,8,4,2015
124,1,1586.8,8,4,2015
125,1,1587.2,8,4,2015
126,1,1587.8,8,4,2015
127,1,1588.0,8,4,2015
128,1,1588.5,8,4,2015
129,1,1588.8,8,4,2015
130,1,1588.9,8,4,2015
131,1,1589.2,8,4,2015
132,1,1589.4,8,4,2015
133,1,1589.7,8,4,2015
134,1,1589.8,8,4,2015
135,1,1590.8,8,4,2015
136,1,1591.1,8,4,2015
137,1,1591.5,8,4,2015
138,1,1591.9,8,4,2015
139,1,1592.3,8,4,2015
140,1,1592.4,8,4,2015
141,1,1592.6,8,4,2015
142,1,1593.0,8,4,2015
143,1,1593.8,8,4,2015
144,1,1593.8,8,4,2015
145,1,1594.5,8,4,2015
146,1,1594.8,8,4,2015
147,1,1594.9,8,4,2015
148,1,1595.9,8,4,2015
149,1,1596.5,8,4,2015
150,1,1596.6,8,4,2015
151,1,1597.0,8,4,2015
152,1,1597.1,8,4,2015
153,1,1597.3,8,4,2015
154,1,1597.8,8,4,2015
155,1,1598.0,8,4,2015
156,1,1598.7,8,4,2015
157,1,1598.7,8,4,2015
158,1,1598.8,8,4,2015
159,1,1598.8,8,4,2015
