Place,Gender,Time,Distance,Level,Year
1,2,1050,5,4,2009
2,2,1071,5,4,2009
3,2,1076,5,4,2009
4,2,1086,5,4,2009
5,2,1088,5,4,2009
6,2,1092,5,4,2009
7,2,1100,5,4,2009
8,2,1100,5,4,2009
9,2,1100,5,4,2009
10,2,1101,5,4,2009
11,2,1105,5,4,2009
12,2,1107,5,4,2009
13,2,1107,5,4,2009
14,2,1108,5,4,2009
15,2,1109,5,4,2009
16,2,1115,5,4,2009
17,2,1116,5,4,2009
18,2,1117,5,4,2009
19,2,1118,5,4,2009
20,2,1120,5,4,2009
21,2,1123,5,4,2009
22,2,1126,5,4,2009
23,2,1127,5,4,2009
24,2,1127,5,4,2009
25,2,1128,5,4,2009
26,2,1129,5,4,2009
27,2,1131,5,4,2009
28,2,1133,5,4,2009
29,2,1134,5,4,2009
30,2,1134,5,4,2009
31,2,1138,5,4,2009
32,2,1140,5,4,2009
33,2,1145,5,4,2009
34,2,1149,5,4,2009
35,2,1150,5,4,2009
36,2,1150,5,4,2009
37,2,1151,5,4,2009
38,2,1151,5,4,2009
39,2,1151,5,4,2009
40,2,1152,5,4,2009
41,2,1154,5,4,2009
42,2,1156,5,4,2009
43,2,1157,5,4,2009
44,2,1158,5,4,2009
45,2,1159,5,4,2009
46,2,1160,5,4,2009
47,2,1160,5,4,2009
48,2,1160,5,4,2009
49,2,1160,5,4,2009
50,2,1160,5,4,2009
51,2,1161,5,4,2009
52,2,1161,5,4,2009
53,2,1162,5,4,2009
54,2,1162,5,4,2009
55,2,1162,5,4,2009
56,2,1162,5,4,2009
57,2,1162,5,4,2009
58,2,1164,5,4,2009
59,2,1166,5,4,2009
60,2,1167,5,4,2009
61,2,1167,5,4,2009
62,2,1168,5,4,2009
63,2,1168,5,4,2009
64,2,1169,5,4,2009
65,2,1170,5,4,2009
66,2,1170,5,4,2009
67,2,1171,5,4,2009
68,2,1171,5,4,2009
69,2,1172,5,4,2009
70,2,1173,5,4,2009
71,2,1174,5,4,2009
72,2,1176,5,4,2009
73,2,1176,5,4,2009
74,2,1177,5,4,2009
75,2,1177,5,4,2009
76,2,1178,5,4,2009
77,2,1180,5,4,2009
78,2,1181,5,4,2009
79,2,1182,5,4,2009
80,2,1183,5,4,2009
81,2,1183,5,4,2009
82,2,1183,5,4,2009
83,2,1183,5,4,2009
84,2,1184,5,4,2009
85,2,1185,5,4,2009
86,2,1185,5,4,2009
87,2,1186,5,4,2009
88,2,1186,5,4,2009
89,2,1187,5,4,2009
90,2,1187,5,4,2009
91,2,1187,5,4,2009
92,2,1188,5,4,2009
93,2,1189,5,4,2009
94,2,1189,5,4,2009
95,2,1190,5,4,2009
96,2,1191,5,4,2009
97,2,1191,5,4,2009
98,2,1192,5,4,2009
99,2,1193,5,4,2009
100,2,1193,5,4,2009
101,2,1193,5,4,2009
102,2,1194,5,4,2009
103,2,1194,5,4,2009
104,2,1195,5,4,2009
105,2,1196,5,4,2009
106,2,1196,5,4,2009
107,2,1197,5,4,2009
108,2,1197,5,4,2009
109,2,1198,5,4,2009
110,2,1199,5,4,2009
111,2,1199,5,4,2009
112,2,1199,5,4,2009
113,2,1199,5,4,2009
114,2,1200,5,4,2009
115,2,1200,5,4,2009
116,2,1201,5,4,2009
117,2,1202,5,4,2009
118,2,1202,5,4,2009
119,2,1202,5,4,2009
120,2,1202,5,4,2009
121,2,1203,5,4,2009
122,2,1203,5,4,2009
123,2,1203,5,4,2009
124,2,1203,5,4,2009
125,2,1204,5,4,2009
126,2,1204,5,4,2009
127,2,1204,5,4,2009
128,2,1205,5,4,2009
129,2,1205,5,4,2009
130,2,1205,5,4,2009
131,2,1205,5,4,2009
132,2,1206,5,4,2009
133,2,1206,5,4,2009
134,2,1206,5,4,2009
135,2,1207,5,4,2009
136,2,1207,5,4,2009
137,2,1207,5,4,2009
138,2,1209,5,4,2009
139,2,1209,5,4,2009
140,2,1210,5,4,2009
141,2,1211,5,4,2009
142,2,1211,5,4,2009
143,2,1211,5,4,2009
144,2,1212,5,4,2009
145,2,1212,5,4,2009
146,2,1213,5,4,2009
147,2,1213,5,4,2009
148,2,1214,5,4,2009
149,2,1214,5,4,2009
150,2,1214,5,4,2009
151,2,1215,5,4,2009
152,2,1216,5,4,2009
153,2,1216,5,4,2009
154,2,1216,5,4,2009
155,2,1216,5,4,2009
156,2,1217,5,4,2009
157,2,1218,5,4,2009
158,2,1218,5,4,2009
159,2,1220,5,4,2009
160,2,1220,5,4,2009
161,2,1221,5,4,2009
162,2,1221,5,4,2009
163,2,1221,5,4,2009
164,2,1222,5,4,2009
165,2,1223,5,4,2009
166,2,1223,5,4,2009
167,2,1224,5,4,2009
168,2,1225,5,4,2009
169,2,1225,5,4,2009
170,2,1226,5,4,2009
171,2,1226,5,4,2009
172,2,1226,5,4,2009
173,2,1227,5,4,2009
174,2,1227,5,4,2009
175,2,1227,5,4,2009
176,2,1227,5,4,2009
177,2,1227,5,4,2009
178,2,1228,5,4,2009
179,2,1228,5,4,2009
180,2,1229,5,4,2009
181,2,1229,5,4,2009
182,2,1229,5,4,2009
183,2,1230,5,4,2009
184,2,1230,5,4,2009
185,2,1230,5,4,2009
186,2,1231,5,4,2009
187,2,1231,5,4,2009
188,2,1231,5,4,2009
189,2,1232,5,4,2009
190,2,1232,5,4,2009
191,2,1232,5,4,2009
192,2,1233,5,4,2009
193,2,1234,5,4,2009
194,2,1234,5,4,2009
195,2,1234,5,4,2009
196,2,1235,5,4,2009
197,2,1236,5,4,2009
198,2,1238,5,4,2009
199,2,1238,5,4,2009
200,2,1238,5,4,2009
201,2,1239,5,4,2009
202,2,1240,5,4,2009
203,2,1241,5,4,2009
204,2,1241,5,4,2009
205,2,1242,5,4,2009
206,2,1243,5,4,2009
207,2,1243,5,4,2009
208,2,1243,5,4,2009
209,2,1244,5,4,2009
210,2,1244,5,4,2009
211,2,1244,5,4,2009
212,2,1245,5,4,2009
213,2,1246,5,4,2009
214,2,1246,5,4,2009
215,2,1247,5,4,2009
216,2,1247,5,4,2009
217,2,1248,5,4,2009
218,2,1248,5,4,2009
219,2,1248,5,4,2009
220,2,1249,5,4,2009
221,2,1249,5,4,2009
222,2,1251,5,4,2009
223,2,1251,5,4,2009
224,2,1251,5,4,2009
225,2,1253,5,4,2009
226,2,1254,5,4,2009
227,2,1254,5,4,2009
228,2,1255,5,4,2009
229,2,1256,5,4,2009
230,2,1256,5,4,2009
231,2,1256,5,4,2009
232,2,1256,5,4,2009
233,2,1257,5,4,2009
234,2,1257,5,4,2009
235,2,1258,5,4,2009
236,2,1258,5,4,2009
237,2,1258,5,4,2009
238,2,1258,5,4,2009
239,2,1259,5,4,2009
240,2,1259,5,4,2009
241,2,1259,5,4,2009
242,2,1259,5,4,2009
243,2,1260,5,4,2009
244,2,1261,5,4,2009
245,2,1262,5,4,2009
246,2,1263,5,4,2009
247,2,1268,5,4,2009
248,2,1269,5,4,2009
249,2,1269,5,4,2009
250,2,1270,5,4,2009
251,2,1271,5,4,2009
252,2,1271,5,4,2009
253,2,1272,5,4,2009
254,2,1273,5,4,2009
255,2,1273,5,4,2009
256,2,1274,5,4,2009
257,2,1277,5,4,2009
258,2,1278,5,4,2009
259,2,1279,5,4,2009
260,2,1280,5,4,2009
261,2,1280,5,4,2009
262,2,1282,5,4,2009
263,2,1282,5,4,2009
264,2,1283,5,4,2009
265,2,1285,5,4,2009
266,2,1286,5,4,2009
267,2,1287,5,4,2009
268,2,1287,5,4,2009
269,2,1288,5,4,2009
270,2,1288,5,4,2009
271,2,1290,5,4,2009
272,2,1292,5,4,2009
273,2,1294,5,4,2009
274,2,1294,5,4,2009
275,2,1296,5,4,2009
276,2,1296,5,4,2009
277,2,1297,5,4,2009
278,2,1301,5,4,2009
279,2,1303,5,4,2009
280,2,1307,5,4,2009
281,2,1308,5,4,2009
282,2,1309,5,4,2009
283,2,1310,5,4,2009
284,2,1313,5,4,2009
285,2,1315,5,4,2009
286,2,1317,5,4,2009
287,2,1318,5,4,2009
288,2,1320,5,4,2009
289,2,1326,5,4,2009
290,2,1328,5,4,2009
291,2,1329,5,4,2009
292,2,1331,5,4,2009
293,2,1333,5,4,2009
294,2,1334,5,4,2009
295,2,1335,5,4,2009
296,2,1337,5,4,2009
297,2,1339,5,4,2009
298,2,1346,5,4,2009
299,2,1346,5,4,2009
300,2,1347,5,4,2009
301,2,1352,5,4,2009
302,2,1353,5,4,2009
303,2,1353,5,4,2009
304,2,1355,5,4,2009
305,2,1361,5,4,2009
306,2,1364,5,4,2009
307,2,1366,5,4,2009
308,2,1369,5,4,2009
309,2,1370,5,4,2009
310,2,1373,5,4,2009
311,2,1373,5,4,2009
312,2,1375,5,4,2009
313,2,1380,5,4,2009
314,2,1380,5,4,2009
315,2,1389,5,4,2009
316,2,1390,5,4,2009
317,2,1390,5,4,2009
318,2,1391,5,4,2009
319,2,1393,5,4,2009
320,2,1408,5,4,2009
321,2,1428,5,4,2009
322,2,1442,5,4,2009
323,2,1446,5,4,2009
324,2,1448,5,4,2009
325,2,1451,5,4,2009
326,2,1468,5,4,2009
327,2,1469,5,4,2009
328,2,1514,5,4,2009
329,2,1547,5,4,2009
330,2,1550,5,4,2009
